Signal Name,Original_Signal (Time Cut)
holding_voltage,2.987242952192762
unloading_parameter,[-3.68768548e-04  2.17335672e+00 -4.26970969e+03  2.79612283e+06]
peak_time,1960.51
peak_value,2.98606
peak_mean,2.98648449500998
plus_minus_toleranz,0.0013995624933667667
U3,0.09992782722547666
U3_mean,0.10035232223545654
manufacturer,vishay
capacitance,50
typ,C
methode,A
klass,4
dut,2
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,6.0





time,value,derivative
1960.51,2.98606,-3.3642000000030547
1960.52,2.952418,-3.892750000003531
1960.53,2.908205,-2.604200000002379
1960.54,2.900334,-0.6173000000005686
1960.55,2.895859,-0.4668000000004042
1960.56,2.890998,-0.38965000000038685
1960.57,2.888066,-0.3048000000003128
1960.58,2.884902,-0.32024999999657666
1960.5900000000001,2.881661,-0.2739499999959776
1960.6000000000001,2.879423,-0.2700500000002535
1960.6100000000001,2.87626,-0.25845000000020946
1960.6200000000001,2.874254,-0.20450000000016644
1960.63,2.87217,-0.22765000000021018
1960.64,2.869701,-0.20060000000017908
1960.65,2.868158,-0.18905000000017935
1960.66,2.86592,-0.22375000000022283
1960.67,2.863683,-0.17360000000016385
1960.68,2.862448,-0.1775000000001512
1960.69,2.860133,-0.16975000000016394
1960.7,2.859053,-0.1504500000001201
1960.71,2.857124,-0.24305000000020982
1960.72,2.854192,-0.1466000000001486
1960.73,2.854192,-0.10805000000010523
1960.74,2.852031,-0.1775000000001512
1960.75,2.850642,-0.135000000000133
1960.76,2.849331,-0.135000000000133
1960.77,2.847942,-0.1042000000000769
1960.78,2.847247,-0.13890000000012037
1960.79,2.845164,-0.18515000000016357
1960.8,2.843544,-0.12345000000013329
1960.81,2.842695,-0.1543500000001643
1960.82,2.840457,-0.15435000000013588
1960.83,2.839608,-0.1272999999976605
1960.8400000000001,2.837911,-0.15429999999804522
1960.8500000000001,2.836522,-0.09645000000008963
1960.8600000000001,2.835982,-0.1273000000001332
1960.8700000000001,2.833976,-0.1466000000001202
1960.88,2.83305,-0.10035000000007699
1960.89,2.831969,-0.14665000000013606
1960.9,2.830117,-0.1273000000001332
1960.91,2.829423,-0.1273000000001332
1960.92,2.827571,-0.14275000000012028
1960.93,2.826568,-0.08875000000006139
1960.94,2.825796,-0.13505000000012046
1960.95,2.823867,-0.1273000000001332
1960.96,2.82325,-0.12730000000010477
1960.97,2.821321,-0.15815000000011992
1960.98,2.820087,-0.08875000000008981
1960.99,2.819546,-0.15435000000013588
1961.0,2.817,-0.16975000000016394
1961.01,2.816151,-0.10415000000011787
1961.02,2.814917,-0.1466000000001202
1961.03,2.813219,-0.11190000000007672
1961.04,2.812679,-0.11960000000010496
1961.05,2.810827,-0.13500000000016144
1961.06,2.809979,-0.08485000000007403
1961.07,2.80913,-0.13505000000009204
1961.08,2.807278,-0.11575000000038926
1961.0900000000001,2.806815,-0.11575000000036084
