Signal Name,Original_Signal (Time Cut)
holding_voltage,2.990820868840081
unloading_parameter,[-2.64978661e-08  1.48743947e-04 -2.89488645e-01  1.96873771e+02]
peak_time,1818.27
peak_value,2.990381
peak_mean,2.990542241516966
plus_minus_toleranz,0.0014522346732177753
U3,0.010988881931624839
U3_mean,0.011150123448590676
manufacturer,vishay
capacitance,50
typ,C
methode,A
klass,3
dut,1
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,0.6





time,value,derivative
1818.27,2.990381,-0.08490000000008718
1818.28,2.989532,-0.3819500000003586
1818.29,2.982742,-0.3549000000003275
1818.3,2.982434,-0.0926000000000613
1818.31,2.98089,-0.06175000000004616
1818.32,2.981199,-0.011550000000028149
1818.33,2.980659,-0.05399999999943361
1818.3400000000001,2.980119,-0.011549999998948124
1818.3500000000001,2.980428,-0.027000000000015234
1818.3600000000001,2.979579,-0.015449999999987085
1818.3700000000001,2.980119,-0.027000000000043656
1818.38,2.979039,-0.0578500000000588
1818.39,2.978962,0.007699999999999818
1818.4,2.979193,-0.019300000000015416
1818.41,2.978576,-0.003849999999999909
1818.42,2.979116,-0.030900000000031014
1818.43,2.977958,-0.03860000000003083
1818.44,2.978344,-0.003849999999999909
1818.45,2.977881,-0.03860000000003083
1818.46,2.977572,-0.00770000000002824
1818.47,2.977727,-0.019250000000027967
1818.48,2.977187,0.0038500000000283308
1818.49,2.977804,-0.011600000000015598
1818.5,2.976955,-0.03475000000003092
1818.51,2.977109,0.015450000000015507
1818.52,2.977264,-0.03855000000004338
1818.53,2.976338,-0.011600000000015598
1818.54,2.977032,-0.011600000000015598
1818.55,2.976106,-0.03470000000001505
1818.56,2.976338,0.0
1818.57,2.976106,-0.027000000000015234
1818.58,2.975798,0.011599999998907151
1818.5900000000001,2.976338,-0.023150000001521676
1818.6000000000001,2.975335,-0.019300000000015416
1818.6100000000001,2.975952,0.0038500000000283308
1818.6200000000001,2.975412,-0.030850000000043565
1818.63,2.975335,-0.0038500000000283308
1818.64,2.975335,-0.04245000000000232
1818.65,2.974486,-0.015449999999987085
1818.66,2.975026,0.0038499999999714873
1818.67,2.974563,-0.00770000000002824
1818.68,2.974872,-0.011549999999999727
1818.69,2.974332,-0.03475000000003092
1818.7,2.974177,0.019250000000027967
1818.71,2.974717,-0.015399999999999636
1818.72,2.973869,-0.011549999999999727
1818.73,2.974486,0.0
1818.74,2.973869,-0.023150000000043747
1818.75,2.974023,0.0
1818.76,2.973869,-0.03860000000003083
1818.77,2.973251,0.007699999999999818
1818.78,2.974023,-0.019250000000027967
1818.79,2.972866,-0.03470000000001505
1818.8,2.973329,0.011550000000028149
1818.81,2.973097,-0.025100000000037426
1818.82,2.972827,0.0
1818.83,2.973097,-0.02894999999844572
1818.8400000000001,2.972248,-0.007699999998180829
1818.8500000000001,2.972943,0.007750000000015689
1818.8600000000001,2.972403,-0.04245000000003074
1818.8700000000001,2.972094,-0.003899999999987358
1818.88,2.972325,-0.023150000000015325
1818.89,2.971631,-0.0038500000000283308
1818.9,2.972248,-0.007699999999999818
1818.91,2.971477,-0.011549999999999727
1818.92,2.972017,0.011549999999999727
1818.93,2.971708,-0.03475000000003092
1818.94,2.971322,-0.011549999999999727
1818.95,2.971477,-0.023150000000015325
1818.96,2.970859,0.0038499999999714873
1818.97,2.971554,0.0
1818.98,2.970859,-0.027000000000015234
1818.99,2.971014,0.019300000000015416
1819.0,2.971245,-0.030850000000015143
1819.01,2.970397,-0.027000000000015234
1819.02,2.970705,-0.030900000000031014
1819.03,2.969779,-0.023150000000043747
1819.04,2.970242,0.023150000000015325
1819.05,2.970242,-0.007699999999999818
1819.06,2.970088,0.007750000000015689
1819.07,2.970397,-0.030850000000043565
1819.08,2.969471,-0.015450000001578701
1819.0900000000001,2.970088,0.007699999998720841
1819.1000000000001,2.969625,-0.027000000000015234
1819.1100000000001,2.969548,0.007699999999999818
1819.1200000000001,2.969779,-0.023150000000015325
1819.13,2.969085,-0.011549999999999727
1819.14,2.969548,-0.019300000000043838
1819.15,2.968699,-0.023150000000015325
1819.16,2.969085,0.00770000000002824
1819.17,2.968853,-0.04245000000005916
1819.18,2.968236,0.003849999999999909
1819.19,2.96893,0.0
1819.2,2.968236,-0.019249999999999545
1819.21,2.968545,-0.003849999999999909
1819.22,2.968159,-0.019300000000043838
1819.23,2.968159,0.003849999999999909
1819.24,2.968236,-0.04245000000003074
1819.25,2.96731,-0.007699999999999818
