Signal Name,Original_Signal (Time Cut)
holding_voltage,2.9899971764048723
unloading_parameter,[-2.38994850e-05  2.27630947e-02 -7.28966666e+00  7.87235032e+02]
peak_time,310.76
peak_value,2.988684
peak_mean,2.9900002559999996
plus_minus_toleranz,0.001311035333221798
U3,0.05691918957571662
U3_mean,0.05823544557571614
manufacturer,vishay
capacitance,50
typ,C
methode,B
klass,1
dut,1
version,1
U_R,3.0
ESR,0.022
I_c,3.589
I_dc,3.409





time,value,derivative
310.76,2.988684,-1.1420000000010595
310.77,2.977264,-2.056349999990829
310.78000000000003,2.947557,-1.6820999999894184
310.79,2.943622,-0.31635000000031255
310.8,2.94123,-0.2508000000002255
310.81,2.938606,-0.2508000000002255
310.82,2.936214,-0.2199000000001945
310.83,2.934208,-0.1542999999999779
310.84000000000003,2.933128,-0.12344999999987749
310.85,2.931739,-0.1466000000001202
310.86,2.930196,-0.1582000000001642
310.87,2.928575,-0.15050000000013597
310.88,2.927186,-0.12345000000010486
310.89,2.926106,-0.08099999999998886
310.90000000000003,2.925566,-0.08489999999997622
310.91,2.924408,-0.13120000000012055
310.92,2.922942,-0.135000000000133
310.93,2.921708,-0.09645000000008963
310.94,2.921013,-0.05790000000004625
310.95,2.92055,-0.08485000000010245
310.96,2.919316,-0.13114999999967836
310.97,2.917927,-0.1157499999996503
310.98,2.917001,-0.0849000000000899
310.99,2.916229,-0.05015000000005898
311.0,2.915998,-0.06170000000008713
311.01,2.914995,-0.11190000000010514
311.02,2.91376,-0.10419999999990637
311.03000000000003,2.912911,-0.08484999999984666
311.04,2.912063,-0.05015000000003056
311.05,2.911908,-0.04630000000003065
311.06,2.911137,-0.08870000000007394
311.07,2.910134,-0.10805000000010523
311.08,2.908976,-0.08105000000003315
311.09000000000003,2.908513,-0.042449999999917054
311.1,2.908127,-0.06170000000005871
311.11,2.907279,-0.06940000000005853
311.12,2.906739,-0.09645000000008963
311.13,2.90535,-0.10805000000010523
311.14,2.904578,-0.06559999999993238
311.15000000000003,2.904038,-0.04629999999986012
311.16,2.903652,-0.05400000000003047
311.17,2.902958,-0.08100000000007412
311.18,2.902032,-0.07720000000006166
311.19,2.901414,-0.0694500000000744
311.2,2.900643,-0.05015000000005898
311.21,2.900411,-0.030849999999901456
311.22,2.900026,-0.0733000000000743
311.23,2.898945,-0.10420000000010532
311.24,2.897942,-0.08875000000006139
311.25,2.89717,-0.04245000000005916
311.26,2.897093,-0.04240000000004329
311.27,2.896322,-0.08099999999984675
311.28000000000003,2.895473,-0.09644999999986226
311.29,2.894393,-0.08485000000010245
311.3,2.893776,-0.04630000000005907
311.31,2.893467,-0.03860000000003083
311.32,2.893004,-0.06945000000004597
311.33,2.892078,-0.0925999999998055
311.34000000000003,2.891152,-0.07329999999976167
311.35,2.890612,-0.04630000000003065
311.36,2.890226,-0.05015000000003056
311.37,2.889609,-0.05785000000003038
311.38,2.889069,-0.08105000000009
311.39,2.887988,-0.09259999999989077
311.40000000000003,2.887217,-0.0655499999997744
311.41,2.886677,-0.04245000000005916
311.42,2.886368,-0.0501500000000874
311.43,2.885674,-0.07715000000004579
311.44,2.884825,-0.0926000000000613
311.45,2.883822,-0.07715000000010264
311.46,2.883282,-0.0424499999999739
311.47,2.882973,-0.026999999999901547
311.48,2.882742,-0.05785000000003038
311.49,2.881816,-0.08875000000006139
311.5,2.880967,-0.0694500000000744
311.51,2.880427,-0.05790000000007467
311.52,2.879809,-0.05789999999993256
311.53000000000003,2.879269,-0.05014999999986003
311.54,2.878806,-0.0733000000000743
311.55,2.877803,-0.10030000000011796
311.56,2.8768,-0.06945000000004597
311.57,2.876414,-0.0347500000000025
311.58,2.876105,-0.0462999999998317
311.59000000000003,2.875488,-0.06939999999991642
311.6,2.874717,-0.08100000000007412
311.61,2.873868,-0.08105000000009
311.62,2.873096,-0.06175000000004616
311.63,2.872633,-0.03855000000004338
311.64,2.872325,-0.05784999999974616
311.65000000000003,2.871476,-0.0964499999999191
311.66,2.870396,-0.09260000000008972
311.67,2.869624,-0.04630000000003065
311.68,2.86947,-0.027000000000015234
311.69,2.869084,-0.05015000000005898
311.7,2.868467,-0.09260000000008972
311.71,2.867232,-0.10419999999990637
311.72,2.866383,-0.05784999999974616
311.73,2.866075,-0.027000000000043656
311.74,2.865843,-0.04245000000003074
311.75,2.865226,-0.08875000000006139
311.76,2.864068,-0.09260000000008972
311.77,2.863374,-0.06944999999987544
311.78000000000003,2.862679,-0.053999999999831516
311.79,2.862294,-0.030850000000015143
311.8,2.862062,-0.04630000000003065
311.81,2.861368,-0.08875000000008981
311.82,2.860287,-0.08875000000011823
311.83,2.859593,-0.0462500000000432
311.84000000000003,2.859362,-0.04630000000000223
311.85,2.858667,-0.06560000000004607
311.86,2.85805,-0.08485000000007403
311.87,2.85697,-0.10415000000008945
311.88,2.855967,-0.05405000000004634
311.89,2.855889,-0.015449999999930242
311.90000000000003,2.855658,-0.05915000000004511
311.91,2.854706,-0.0849000000000899
311.92,2.85396,-0.08360000000007517
311.93,2.853034,-0.0733000000000743
311.94,2.852494,-0.05400000000005889
311.95,2.851954,-0.05015000000003056
311.96,2.851491,-0.057849999999831425
311.97,2.850797,-0.08099999999993202
311.98,2.849871,-0.06945000000004597
311.99,2.849408,-0.027000000000043656
312.0,2.849331,-0.038600000000059254
312.01,2.848636,-0.05790000000004625
312.02,2.848173,-0.08484999999964771
312.03000000000003,2.846939,-0.0925999999996634
312.04,2.846321,-0.06560000000004607
312.05,2.845627,-0.04245000000005916
312.06,2.845472,-0.04245000000005916
312.07,2.844778,-0.07715000000004579
312.08,2.843929,-0.08489999999980569
312.09000000000003,2.84308,-0.06944999999979018
312.1,2.84254,-0.05010000000004311
312.11,2.842078,-0.027000000000015234
312.12,2.842,-0.05020000000004643
312.13,2.841074,-0.10415000000011787
312.14,2.839917,-0.10414999999986208
312.15000000000003,2.838991,-0.06944999999970491
312.16,2.838528,-0.023150000000015325
312.17,2.838528,-0.027000000000015234
312.18,2.837988,-0.08100000000007412
312.19,2.836908,-0.10030000000011796
312.2,2.835982,-0.05015000000005898
312.21,2.835905,-0.023149999999873216
312.22,2.835519,-0.04629999999991696
312.23,2.834979,-0.07715000000007421
312.24,2.833976,-0.08875000000008981
312.25,2.833204,-0.08105000000006157
312.26,2.832355,-0.05015000000005898
312.27,2.832201,-0.03469999999984452
312.28000000000003,2.831661,-0.05784999999988827
312.29,2.831044,-0.08875000000006139
312.3,2.829886,-0.09265000000010559
312.31,2.829191,-0.05400000000005889
312.32,2.828806,-0.04240000000004329
312.33,2.828343,-0.042449999999945476
312.34000000000003,2.827957,-0.06174999999998931
312.35,2.827108,-0.10420000000010532
312.36,2.825873,-0.08100000000007412
312.37,2.825488,-0.030850000000043565
312.38,2.825256,-0.03475000000003092
312.39,2.824793,-0.05014999999988845
312.40000000000003,2.824253,-0.0926000000000613
312.41,2.822941,-0.10030000000008954
312.42,2.822247,-0.06170000000008713
312.43,2.821707,-0.023150000000015325
312.44,2.821784,-0.03860000000003083
312.45,2.820935,-0.1273000000001332
312.46,2.819238,-0.11960000000004811
312.47,2.818543,-0.050149999999803185
312.48,2.818235,-0.0578500000000588
312.49,2.817386,-0.05020000000004643
312.5,2.817231,-0.06945000000004597
312.51,2.815997,-0.1157000000001176
312.52,2.814917,-0.07715000000004579
312.53000000000003,2.814454,-0.04629999999988854
312.54,2.813991,-0.05015000000003056
312.55,2.813451,-0.05790000000007467
312.56,2.812833,-0.0694500000000744
312.57,2.812062,-0.07330000000004588
312.58,2.811367,-0.06174999999993247
312.59000000000003,2.810827,-0.04239999999987276
312.6,2.810519,-0.03855000000004338
312.61,2.810056,-0.06945000000004597
312.62,2.80913,-0.09645000000008963
312.63,2.808127,-0.0733000000000743
312.64,2.807664,-0.042449999999917054
312.65000000000003,2.807278,-0.03859999999994557
312.66,2.806892,-0.06175000000007458
312.67,2.806043,-0.08490000000006148
312.68,2.805194,-0.08485000000007403
312.69,2.804346,-0.06555000000005862
312.7,2.803883,-0.03860000000003083
312.71,2.803574,-0.03859999999988872
312.72,2.803111,-0.06174999999996089
312.73,2.802339,-0.08485000000010245
312.74,2.801414,-0.08870000000004552
312.75,2.800565,-0.03860000000003083
312.76,2.800642,-0.015450000000015507
312.77,2.800256,-0.06174999999973352
312.78000000000003,2.799407,-0.09644999999989068
312.79,2.798327,-0.08485000000007403
312.8,2.79771,-0.0578500000000588
312.81,2.79717,-0.04245000000005916
312.82,2.796861,-0.05405000000007476
312.83,2.796089,-0.07714999999984684
312.84000000000003,2.795318,-0.08099999999984675
312.85,2.794469,-0.07720000000006166
312.86,2.793774,-0.05785000000003038
312.87,2.793312,-0.030850000000043565
312.88,2.793157,-0.05405000000004634
312.89,2.792231,-0.08869999999984657
312.90000000000003,2.791383,-0.06554999999980282
312.91,2.79092,-0.05405000000004634
312.92,2.790302,-0.05405000000001792
312.93,2.789839,-0.06555000000005862
312.94,2.788991,-0.08100000000010255
312.95,2.788219,-0.08105000000006157
312.96,2.78737,-0.08099999999987517
312.97,2.786599,-0.026999999999674174
312.98,2.78683,-0.015449999999987085
312.99,2.78629,-0.0733000000000743
313.0,2.785364,-0.10415000000011787
313.01,2.784207,-0.07330000000004588
313.02,2.783898,-0.046299999999803276
313.03000000000003,2.783281,-0.0462999999998317
313.04,2.782972,-0.05790000000004625
313.05,2.782123,-0.0849000000000899
313.06,2.781274,-0.08870000000007394
313.07,2.780349,-0.07330000000004588
313.08,2.779808,-0.034750000000059345
313.09000000000003,2.779654,-0.0501500000000874
313.1,2.778805,-0.07330000000004588
313.11,2.778188,-0.05015000000005898
313.12,2.777802,-0.07715000000007421
313.13,2.776645,-0.08485000000010245
313.14,2.776105,-0.03475000000003092
313.15000000000003,2.77595,-0.04245000000005916
313.16,2.775256,-0.0578500000000588
313.17,2.774793,-0.08875000000008981
313.18,2.773481,-0.09260000000008972
313.19,2.772941,-0.023150000000015325
313.2,2.773018,-0.030850000000015143
313.21,2.772324,-0.09259999999972024
313.22,2.771166,-0.1003499999997075
313.23,2.770317,-0.06170000000005871
313.24,2.769932,-0.05400000000003047
313.25,2.769237,-0.05790000000004625
313.26,2.768774,-0.04630000000003065
313.27,2.768311,-0.05399999999985994
313.28000000000003,2.767694,-0.09260000000000446
313.29,2.766459,-0.08875000000008981
313.3,2.765919,-0.03855000000001496
313.31,2.765688,-0.027000000000015234
313.32,2.765379,-0.05400000000005889
313.33,2.764608,-0.09259999999974866
313.34000000000003,2.763527,-0.10034999999976435
313.35,2.762601,-0.06170000000005871
313.36,2.762293,-0.027000000000015234
313.37,2.762061,-0.03860000000003083
313.38,2.761521,-0.06170000000008713
313.39,2.760827,-0.08484999999973297
